2,0.0000009000,2012.0000000000,0.0000007850,2012.0000000000
4,0.0000008300,2012.0000000000,0.0000008000,2012.0000000000
8,0.0000012200,2012.0000000000,0.0000011450,2012.0000000000
16,0.0000008250,2012.0000000000,0.0000008050,2012.0000000000
32,0.0000008300,2012.0000000000,0.0000008100,2012.0000000000
64,0.0000008450,2012.0000000000,0.0000008550,2012.0000000000
128,0.0000008700,2012.0000000000,0.0000008200,2012.0000000000
256,0.0000008600,2012.0000000000,0.0000008100,2012.0000000000
512,0.0000008700,2012.0000000000,0.0000008100,2012.0000000000
1024,0.0000009000,2012.0000000000,0.0000008150,2012.0000000000
2048,0.0000012850,2012.0000000000,0.0000008250,2012.0000000000
4096,0.0000009300,2012.0000000000,0.0000019100,2012.0000000000
8192,0.0000009250,2012.0000000000,0.0000008100,2012.0000000000
16384,0.0000009900,2012.0000000000,0.0000008400,2012.0000000000
32768,0.0000009550,4156.0000000000,0.0000012050,4164.0000000000
65536,0.0000013500,4164.0000000000,0.0000008750,4224.0000000000
131072,0.0000018850,4224.0000000000,0.0000008850,4224.0000000000
262144,0.0000012150,4748.0000000000,0.0000014250,4356.0000000000
524288,0.0000018750,5408.0000000000,0.0000008900,4872.0000000000
1048576,0.0000016800,6984.0000000000,0.0000010450,5912.0000000000
2097152,0.0000025150,10068.0000000000,0.0000009000,7992.0000000000
4194304,0.0000026100,16236.0000000000,0.0000009650,12088.0000000000
8388608,0.0000024550,28504.0000000000,0.0000010150,20280.0000000000
16777216,0.0000025200,53040.0000000000,0.0000009150,53252.0000000000
